,id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince
9,8480727,https://assets.nhle.com/mugs/nhl/20232024/VGK/8480727.png,{'default': 'Zach'},{'default': 'Whitecloud'},2.0,D,R,74,218,188,99,1996-11-28,{'default': 'Brandon'},CAN,{'default': 'Manitoba'}
0,8481122,https://assets.nhle.com/mugs/nhl/20232024/TOR/8481122.png,{'default': 'Simon'},{'default': 'Benoit'},2.0,D,L,76,205,193,93,1998-09-19,{'default': 'Laval'},CAN,"{'default': 'Quebec', 'fr': 'Québec'}"
1,8474673,https://assets.nhle.com/mugs/nhl/20232024/TOR/8474673.png,{'default': 'TJ'},{'default': 'Brodie'},78.0,D,L,74,187,188,85,1990-06-07,{'default': 'Chatham'},CAN,{'default': 'Ontario'}
2,8470966,https://assets.nhle.com/mugs/nhl/20232024/TOR/8470966.png,{'default': 'Mark'},{'default': 'Giordano'},55.0,D,L,72,202,183,92,1983-10-03,{'default': 'Toronto'},CAN,{'default': 'Ontario'}
3,8475906,https://assets.nhle.com/mugs/nhl/20232024/TOR/8475906.png,{'default': 'John'},{'default': 'Klingberg'},3.0,D,R,74,185,188,84,1992-08-14,"{'default': 'Gothenburg', 'cs': 'Göteborg', 'fi': 'Göteborg', 'fr': 'Göteborg', 'sk': 'Göteborg', 'sv': 'Göteborg'}",SWE,
4,8478021,https://assets.nhle.com/mugs/nhl/20232024/TOR/8478021.png,{'default': 'William'},{'default': 'Lagesson'},85.0,D,L,74,211,188,96,1996-02-22,"{'default': 'Gothenburg', 'cs': 'Göteborg', 'fi': 'Göteborg', 'fr': 'Göteborg', 'sk': 'Göteborg', 'sv': 'Göteborg'}",SWE,
5,8480043,https://assets.nhle.com/mugs/nhl/20232024/TOR/8480043.png,{'default': 'Timothy'},{'default': 'Liljegren'},37.0,D,R,73,190,185,86,1999-04-30,{'default': 'Kristianstad'},SWE,
6,8476931,https://assets.nhle.com/mugs/nhl/20232024/TOR/8476931.png,{'default': 'Jake'},{'default': 'McCabe'},22.0,D,L,73,211,185,96,1993-10-12,{'default': 'Eau Claire'},USA,{'default': 'Wisconsin'}
7,8474162,https://assets.nhle.com/mugs/nhl/20232024/TOR/8474162.png,{'default': 'Jake'},{'default': 'Muzzin'},8.0,D,L,75,227,191,103,1989-02-21,{'default': 'Woodstock'},CAN,{'default': 'Ontario'}
8,8476853,https://assets.nhle.com/mugs/nhl/20232024/TOR/8476853.png,{'default': 'Morgan'},{'default': 'Rielly'},44.0,D,L,73,225,185,102,1994-03-09,{'default': 'Vancouver'},CAN,"{'default': 'British Columbia', 'fr': 'Colombie-Britannique', 'sk': 'Britská Kolumbia'}"
9,8479982,https://assets.nhle.com/mugs/nhl/20232024/TOR/8479982.png,{'default': 'Conor'},{'default': 'Timmins'},25.0,D,R,74,206,188,93,1998-09-18,{'default': 'St. Catharines'},CAN,{'default': 'Ontario'}
0,8475764,https://assets.nhle.com/mugs/nhl/20232024/ANA/8475764.png,{'default': 'Cam'},{'default': 'Fowler'},4.0,D,L,74,215,188,98,1991-12-05,{'default': 'Windsor'},CAN,{'default': 'Ontario'}
1,8475462,https://assets.nhle.com/mugs/nhl/20232024/ANA/8475462.png,{'default': 'Radko'},{'default': 'Gudas'},7.0,D,R,72,208,183,94,1990-06-05,"{'default': 'Prague', 'cs': 'Praha', 'de': 'Prag', 'fi': 'Praha', 'sk': 'Praha', 'sv': 'Prag'}",CZE,
2,8477462,https://assets.nhle.com/mugs/nhl/20232024/ANA/8477462.png,{'default': 'Robert'},"{'default': 'Hagg', 'cs': 'Hägg', 'fi': 'Hägg', 'sk': 'Hägg'}",18.0,D,L,74,210,188,95,1995-02-08,{'default': 'Uppsala'},SWE,
3,8481605,https://assets.nhle.com/mugs/nhl/20232024/ANA/8481605.png,{'default': 'Jackson'},{'default': 'LaCombe'},60.0,D,L,74,205,188,93,2001-01-09,{'default': 'Eden Prairie'},USA,{'default': 'Minnesota'}
4,8480184,https://assets.nhle.com/mugs/nhl/20232024/ANA/8480184.png,{'default': 'Gustav'},"{'default': 'Lindström', 'de': 'Lindstrom', 'es': 'Lindstrom', 'fi': 'Lindstrom', 'sv': 'Lindstrom'}",28.0,D,R,74,194,188,88,1998-10-20,"{'default': 'Ostervala', 'fi': 'Östervåla', 'sv': 'Östervåla'}",SWE,
5,8480950,https://assets.nhle.com/mugs/nhl/20232024/ANA/8480950.png,"{'default': 'Ilya', 'cs': 'Ilja', 'fi': 'Ilja', 'sk': 'Iľja'}","{'default': 'Lyubushkin', 'cs': 'Ljubuškin', 'fi': 'Ljubushkin', 'sk': 'Ljubuškin'}",46.0,D,R,74,200,188,91,1994-04-06,"{'default': 'Moscow', 'cs': 'Moskva', 'de': 'Moskau', 'fi': 'Moskova', 'fr': 'Moscou', 'sk': 'Moskva', 'sv': 'Moskva'}",RUS,
6,8483490,https://assets.nhle.com/mugs/nhl/20232024/ANA/8483490.png,{'default': 'Pavel'},{'default': 'Mintyukov'},34.0,D,L,73,195,185,88,2003-11-25,"{'default': 'Moscow', 'cs': 'Moskva', 'de': 'Moskau', 'fi': 'Moskova', 'fr': 'Moscou', 'sk': 'Moskva', 'sv': 'Moskva'}",RUS,
7,8480001,https://assets.nhle.com/mugs/nhl/20232024/ANA/8480001.png,{'default': 'Urho'},{'default': 'Vaakanainen'},5.0,D,L,74,200,188,91,1999-01-01,{'default': 'Joensuu'},FIN,
8,8482803,https://assets.nhle.com/mugs/nhl/20232024/ANA/8482803.png,{'default': 'Olen'},{'default': 'Zellweger'},51.0,D,L,69,182,175,83,2003-09-10,{'default': 'Calgary'},CAN,{'default': 'Alberta'}
0,8478465,https://assets.nhle.com/mugs/nhl/20232024/VAN/8478465.png,{'default': 'Guillaume'},{'default': 'Brisebois'},55.0,D,L,74,175,188,79,1997-07-21,{'default': 'Longueuil'},CAN,"{'default': 'Quebec', 'fr': 'Québec'}"
1,8474013,https://assets.nhle.com/mugs/nhl/20232024/VAN/8474013.png,{'default': 'Ian'},{'default': 'Cole'},82.0,D,L,73,225,185,102,1989-02-21,{'default': 'Ann Arbor'},USA,{'default': 'Michigan'}
2,8478017,https://assets.nhle.com/mugs/nhl/20232024/VAN/8478017.png,{'default': 'Mark'},{'default': 'Friedman'},51.0,D,R,71,185,180,84,1995-12-25,{'default': 'Toronto'},CAN,{'default': 'Ontario'}
3,8479425,https://assets.nhle.com/mugs/nhl/20232024/VAN/8479425.png,{'default': 'Filip'},{'default': 'Hronek'},17.0,D,R,72,190,183,86,1997-11-02,"{'default': 'Hradec Kralove', 'cs': 'Hradec Králové', 'fi': 'Hradec Králové', 'sk': 'Hradec Králové'}",CZE,
4,8480800,https://assets.nhle.com/mugs/nhl/20232024/VAN/8480800.png,{'default': 'Quinn'},{'default': 'Hughes'},43.0,D,L,70,180,178,82,1999-10-14,{'default': 'Orlando'},USA,"{'default': 'Florida', 'fr': 'Floride'}"
5,8478454,https://assets.nhle.com/mugs/nhl/20232024/VAN/8478454.png,{'default': 'Noah'},{'default': 'Juulsen'},47.0,D,R,74,201,188,91,1997-04-02,{'default': 'Surrey'},CAN,"{'default': 'British Columbia', 'fr': 'Colombie-Britannique', 'sk': 'Britská Kolumbia'}"
6,8474574,https://assets.nhle.com/mugs/nhl/20232024/VAN/8474574.png,{'default': 'Tyler'},{'default': 'Myers'},57.0,D,R,80,229,203,104,1990-02-01,{'default': 'Houston'},USA,{'default': 'Texas'}
7,8477359,https://assets.nhle.com/mugs/nhl/20232024/VAN/8477359.png,{'default': 'Tucker'},{'default': 'Poolman'},5.0,D,R,74,199,188,90,1993-06-08,{'default': 'Dubuque'},USA,{'default': 'Iowa'}
8,8477369,https://assets.nhle.com/mugs/nhl/20232024/VAN/8477369.png,{'default': 'Carson'},{'default': 'Soucy'},7.0,D,L,77,208,196,94,1994-07-27,{'default': 'Viking'},CAN,{'default': 'Alberta'}
9,8477507,https://assets.nhle.com/mugs/nhl/20232024/VAN/8477507.png,{'default': 'Nikita'},{'default': 'Zadorov'},91.0,D,L,78,248,198,112,1995-04-16,"{'default': 'Moscow', 'cs': 'Moskva', 'de': 'Moskau', 'fi': 'Moskova', 'fr': 'Moscou', 'sk': 'Moskva', 'sv': 'Moskva'}",RUS,
0,8479323,https://assets.nhle.com/mugs/nhl/20232024/NYR/8479323.png,{'default': 'Adam'},{'default': 'Fox'},23.0,D,R,71,185,180,84,1998-02-17,{'default': 'Jericho'},USA,{'default': 'New York'}
1,8476979,https://assets.nhle.com/mugs/nhl/20232024/NYR/8476979.png,{'default': 'Erik'},{'default': 'Gustafsson'},56.0,D,L,73,189,185,86,1992-03-14,"{'default': 'Nynashamn', 'fi': 'Nynäshamn', 'sv': 'Nynäshamn'}",SWE,
2,8481708,https://assets.nhle.com/mugs/nhl/20232024/NYR/8481708.png,{'default': 'Zac'},{'default': 'Jones'},6.0,D,L,70,176,178,80,2000-10-18,{'default': 'Richmond'},USA,"{'default': 'Virginia', 'fr': 'Virginie'}"
3,8479324,https://assets.nhle.com/mugs/nhl/20232024/NYR/8479324.png,{'default': 'Ryan'},{'default': 'Lindgren'},55.0,D,L,72,193,183,88,1998-02-11,{'default': 'Burnsville'},USA,{'default': 'Minnesota'}
4,8480817,https://assets.nhle.com/mugs/nhl/20232024/NYR/8480817.png,"{'default': ""K'Andre""}",{'default': 'Miller'},79.0,D,L,77,210,196,95,2000-01-21,{'default': 'St. Paul'},USA,{'default': 'Minnesota'}
5,8482073,https://assets.nhle.com/mugs/nhl/20232024/NYR/8482073.png,{'default': 'Braden'},{'default': 'Schneider'},4.0,D,R,75,211,191,96,2001-09-20,{'default': 'Prince Albert'},CAN,{'default': 'Saskatchewan'}
6,8476885,https://assets.nhle.com/mugs/nhl/20232024/NYR/8476885.png,{'default': 'Jacob'},{'default': 'Trouba'},8.0,D,R,75,209,191,95,1994-02-26,{'default': 'Rochester'},USA,{'default': 'Michigan'}
0,8479402,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8479402.png,{'default': 'Jake'},{'default': 'Bean'},22.0,D,L,73,191,185,87,1998-06-09,{'default': 'Calgary'},CAN,{'default': 'Alberta'}
1,8480871,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8480871.png,{'default': 'Adam'},{'default': 'Boqvist'},27.0,D,R,72,189,183,86,2000-08-15,{'default': 'Falun'},SWE,
2,8475790,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8475790.png,{'default': 'Erik'},{'default': 'Gudbranson'},44.0,D,R,77,222,196,101,1992-01-07,{'default': 'Ottawa'},CAN,{'default': 'Ontario'}
3,8479369,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8479369.png,{'default': 'Andrew'},{'default': 'Peeke'},2.0,D,R,75,214,191,97,1998-03-17,{'default': 'Parkland'},USA,"{'default': 'Florida', 'fr': 'Floride'}"
4,8478500,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8478500.png,{'default': 'Ivan'},{'default': 'Provorov'},9.0,D,L,73,220,185,100,1997-01-13,"{'default': 'Yaroslavl', 'cs': 'Jaroslavl', 'fi': 'Jaroslavl', 'sk': 'Jaroslavl'}",RUS,
5,8476923,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8476923.png,{'default': 'Damon'},{'default': 'Severson'},78.0,D,R,74,202,188,92,1994-08-07,{'default': 'Melville'},CAN,{'default': 'Saskatchewan'}
6,8478460,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8478460.png,{'default': 'Zach'},{'default': 'Werenski'},8.0,D,L,74,219,188,99,1997-07-19,{'default': 'Grosse Pointe'},USA,{'default': 'Michigan'}
0,8481806,https://assets.nhle.com/mugs/nhl/20232024/CHI/8481806.png,{'default': 'Louis'},{'default': 'Crevier'},46.0,D,R,80,228,203,103,2001-05-04,"{'default': 'Quebec City', 'fr': 'Québec'}",CAN,"{'default': 'Quebec', 'fr': 'Québec'}"
1,8477495,https://assets.nhle.com/mugs/nhl/20232024/CHI/8477495.png,{'default': 'Seth'},{'default': 'Jones'},4.0,D,R,76,213,193,97,1994-10-03,{'default': 'Arlington'},USA,{'default': 'Texas'}
2,8483466,https://assets.nhle.com/mugs/nhl/20232024/CHI/8483466.png,{'default': 'Kevin'},{'default': 'Korchinski'},55.0,D,L,73,185,185,84,2004-06-21,{'default': 'Saskatoon'},CAN,{'default': 'Saskatchewan'}
3,8477034,https://assets.nhle.com/mugs/nhl/20232024/CHI/8477034.png,{'default': 'Jaycob'},{'default': 'Megna'},24.0,D,L,78,220,198,100,1992-12-10,{'default': 'Plantation'},USA,"{'default': 'Florida', 'fr': 'Floride'}"
4,8476473,https://assets.nhle.com/mugs/nhl/20232024/CHI/8476473.png,{'default': 'Connor'},{'default': 'Murphy'},5.0,D,R,76,212,193,96,1993-03-26,{'default': 'Dublin'},USA,{'default': 'Ohio'}
5,8482192,https://assets.nhle.com/mugs/nhl/20232024/CHI/8482192.png,{'default': 'Isaak'},{'default': 'Phillips'},41.0,D,L,75,205,191,93,2001-09-28,{'default': 'Barrie'},CAN,{'default': 'Ontario'}
6,8475797,https://assets.nhle.com/mugs/nhl/20232024/CHI/8475797.png,{'default': 'Jarred'},{'default': 'Tinordi'},25.0,D,L,78,229,198,104,1992-02-20,{'default': 'Millersville'},USA,{'default': 'Maryland'}
7,8481568,https://assets.nhle.com/mugs/nhl/20232024/CHI/8481568.png,{'default': 'Alex'},{'default': 'Vlasic'},72.0,D,L,78,217,198,98,2001-06-05,{'default': 'Wilmette'},USA,{'default': 'Illinois'}
8,8479458,https://assets.nhle.com/mugs/nhl/20232024/CHI/8479458.png,{'default': 'Nikita'},"{'default': 'Zaitsev', 'cs': 'Zajcev', 'sk': 'Zajcev'}",22.0,D,R,74,192,188,87,1991-10-29,"{'default': 'Moscow', 'cs': 'Moskva', 'de': 'Moskau', 'fi': 'Moskova', 'fr': 'Moscou', 'sk': 'Moskva', 'sv': 'Moskva'}",RUS,
0,8480990,https://assets.nhle.com/mugs/nhl/20232024/WPG/8480990.png,{'default': 'Declan'},{'default': 'Chisholm'},47.0,D,L,73,190,185,86,2000-01-12,{'default': 'Bowmanville'},CAN,{'default': 'Ontario'}
1,8476331,https://assets.nhle.com/mugs/nhl/20232024/WPG/8476331.png,{'default': 'Dylan'},"{'default': 'DeMelo', 'cs': 'Demelo', 'de': 'Demelo', 'fi': 'Demelo', 'sk': 'Demelo', 'sv': 'Demelo'}",2.0,D,R,73,194,185,88,1993-05-01,"{'default': 'London', 'sk': 'Londýn'}",CAN,{'default': 'Ontario'}
2,8475455,https://assets.nhle.com/mugs/nhl/20232024/WPG/8475455.png,{'default': 'Brenden'},{'default': 'Dillon'},5.0,D,L,76,225,193,102,1990-11-13,{'default': 'New Westminster'},CAN,"{'default': 'British Columbia', 'fr': 'Colombie-Britannique', 'sk': 'Britská Kolumbia'}"
3,8477504,https://assets.nhle.com/mugs/nhl/20232024/WPG/8477504.png,{'default': 'Josh'},{'default': 'Morrissey'},44.0,D,L,72,195,183,88,1995-03-28,{'default': 'Calgary'},CAN,{'default': 'Alberta'}
4,8480145,https://assets.nhle.com/mugs/nhl/20232024/WPG/8480145.png,{'default': 'Neal'},{'default': 'Pionk'},4.0,D,R,72,190,183,86,1995-07-29,{'default': 'Omaha'},USA,{'default': 'Nebraska'}
5,8480049,https://assets.nhle.com/mugs/nhl/20232024/WPG/8480049.png,{'default': 'Dylan'},{'default': 'Samberg'},54.0,D,L,76,216,193,98,1999-01-24,{'default': 'Saginaw'},USA,{'default': 'Minnesota'}
6,8477220,https://assets.nhle.com/mugs/nhl/20232024/WPG/8477220.png,{'default': 'Nate'},{'default': 'Schmidt'},88.0,D,L,72,192,183,87,1991-07-16,{'default': 'St. Cloud'},USA,{'default': 'Minnesota'}
7,8479378,https://assets.nhle.com/mugs/nhl/20232024/WPG/8479378.png,{'default': 'Logan'},{'default': 'Stanley'},64.0,D,L,79,231,201,105,1998-05-26,{'default': 'Waterloo'},CAN,{'default': 'Ontario'}
0,8480803,https://assets.nhle.com/mugs/nhl/20232024/EDM/8480803.png,{'default': 'Evan'},{'default': 'Bouchard'},2.0,D,R,75,192,191,87,1999-10-20,{'default': 'Oakville'},CAN,{'default': 'Ontario'}
1,8476879,https://assets.nhle.com/mugs/nhl/20232024/EDM/8476879.png,{'default': 'Cody'},{'default': 'Ceci'},5.0,D,R,75,210,191,95,1993-12-21,{'default': 'Ottawa'},CAN,{'default': 'Ontario'}
2,8479576,https://assets.nhle.com/mugs/nhl/20232024/EDM/8479576.png,{'default': 'Vincent'},{'default': 'Desharnais'},73.0,D,R,79,226,201,103,1996-05-29,{'default': 'Laval'},CAN,"{'default': 'Quebec', 'fr': 'Québec'}"
3,8475218,https://assets.nhle.com/mugs/nhl/20232024/EDM/8475218.png,{'default': 'Mattias'},{'default': 'Ekholm'},14.0,D,L,77,225,196,102,1990-05-24,"{'default': 'Borlange', 'fi': 'Borlänge', 'sv': 'Borlänge'}",SWE,
4,8480274,https://assets.nhle.com/mugs/nhl/20232024/EDM/8480274.png,{'default': 'Philip'},{'default': 'Kemp'},76.0,D,R,75,202,191,92,1999-02-12,{'default': 'Greenwich'},USA,{'default': 'Connecticut'}
5,8476967,https://assets.nhle.com/mugs/nhl/20232024/EDM/8476967.png,{'default': 'Brett'},{'default': 'Kulak'},27.0,D,L,74,192,188,87,1994-01-06,{'default': 'Edmonton'},CAN,{'default': 'Alberta'}
6,8477498,https://assets.nhle.com/mugs/nhl/20232024/EDM/8477498.png,{'default': 'Darnell'},{'default': 'Nurse'},25.0,D,L,76,215,193,98,1995-02-04,{'default': 'Hamilton'},CAN,{'default': 'Ontario'}
0,8475753,https://assets.nhle.com/mugs/nhl/20232024/STL/8475753.png,{'default': 'Justin'},{'default': 'Faulk'},72.0,D,R,72,214,183,97,1992-03-20,{'default': 'South St. Paul'},USA,{'default': 'Minnesota'}
1,8482516,https://assets.nhle.com/mugs/nhl/20232024/STL/8482516.png,{'default': 'Matthew'},{'default': 'Kessel'},51.0,D,R,74,205,188,93,2000-06-23,{'default': 'Phoenix'},USA,{'default': 'Arizona'}
2,8476792,https://assets.nhle.com/mugs/nhl/20232024/STL/8476792.png,{'default': 'Torey'},{'default': 'Krug'},47.0,D,L,69,194,175,88,1991-04-12,{'default': 'Livonia'},USA,{'default': 'Michigan'}
3,8475181,https://assets.nhle.com/mugs/nhl/20232024/STL/8475181.png,{'default': 'Nick'},{'default': 'Leddy'},4.0,D,L,72,205,183,93,1991-03-20,{'default': 'Eden Prairie'},USA,{'default': 'Minnesota'}
4,8476892,https://assets.nhle.com/mugs/nhl/20232024/STL/8476892.png,{'default': 'Colton'},{'default': 'Parayko'},55.0,D,R,78,228,198,103,1993-05-12,"{'default': 'St. Albert', 'fr': 'St-Albert'}",CAN,{'default': 'Alberta'}
5,8481059,https://assets.nhle.com/mugs/nhl/20232024/STL/8481059.png,{'default': 'Scott'},{'default': 'Perunovich'},48.0,D,L,70,175,178,79,1998-08-18,{'default': 'Hibbing'},USA,{'default': 'Minnesota'}
6,8474618,https://assets.nhle.com/mugs/nhl/20232024/STL/8474618.png,{'default': 'Marco'},{'default': 'Scandella'},6.0,D,L,75,212,191,96,1990-02-23,{'default': 'Montréal'},CAN,"{'default': 'Quebec', 'fr': 'Québec'}"
0,8480884,https://assets.nhle.com/mugs/nhl/20232024/SJS/8480884.png,{'default': 'Calen'},{'default': 'Addison'},33.0,D,R,71,173,180,78,2000-04-11,{'default': 'Brandon'},CAN,{'default': 'Manitoba'}
1,8476988,https://assets.nhle.com/mugs/nhl/20232024/SJS/8476988.png,{'default': 'Matt'},{'default': 'Benning'},5.0,D,R,73,203,185,92,1994-05-25,{'default': 'Edmonton'},CAN,{'default': 'Alberta'}
2,8477335,https://assets.nhle.com/mugs/nhl/20232024/SJS/8477335.png,{'default': 'Kyle'},{'default': 'Burroughs'},4.0,D,R,72,193,183,88,1995-07-12,{'default': 'Vancouver'},CAN,"{'default': 'British Columbia', 'fr': 'Colombie-Britannique', 'sk': 'Britská Kolumbia'}"
3,8480834,https://assets.nhle.com/mugs/nhl/20232024/SJS/8480834.png,{'default': 'Ty'},{'default': 'Emberson'},6.0,D,R,74,193,188,88,2000-05-23,{'default': 'Eau Claire'},USA,{'default': 'Wisconsin'}
4,8479983,https://assets.nhle.com/mugs/nhl/20232024/SJS/8479983.png,{'default': 'Mario'},{'default': 'Ferraro'},38.0,D,L,72,209,183,95,1998-09-17,{'default': 'Toronto'},CAN,{'default': 'Ontario'}
5,8479439,https://assets.nhle.com/mugs/nhl/20232024/SJS/8479439.png,{'default': 'Jacob'},{'default': 'MacDonald'},9.0,D,L,72,204,183,93,1993-02-26,{'default': 'Portland'},USA,{'default': 'Oregon'}
6,8482166,https://assets.nhle.com/mugs/nhl/20232024/SJS/8482166.png,{'default': 'Shakir'},{'default': 'Mukhamadullin'},85.0,D,L,76,178,193,81,2002-01-10,{'default': 'Ufa'},RUS,
7,8481537,https://assets.nhle.com/mugs/nhl/20232024/SJS/8481537.png,{'default': 'Nikita'},{'default': 'Okhotiuk'},83.0,D,L,73,195,185,88,2000-12-04,"{'default': 'Chelyabinsk', 'cs': 'Čeljabinsk', 'fi': 'Tšeljabinsk', 'sk': 'Čeljabinsk'}",RUS,
8,8480172,https://assets.nhle.com/mugs/nhl/20232024/SJS/8480172.png,{'default': 'Jan'},{'default': 'Rutta'},84.0,D,R,75,204,191,93,1990-07-29,"{'default': 'Pisek', 'cs': 'Písek', 'fi': 'Písek', 'sk': 'Písek'}",CZE,
9,8481567,https://assets.nhle.com/mugs/nhl/20232024/SJS/8481567.png,{'default': 'Henry'},{'default': 'Thrun'},3.0,D,L,74,190,188,86,2001-03-12,{'default': 'Southborough'},USA,{'default': 'Massachusetts'}
10,8471709,https://assets.nhle.com/mugs/nhl/20232024/SJS/8471709.png,{'default': 'Marc-Edouard'},{'default': 'Vlasic'},44.0,D,L,73,205,185,93,1987-03-30,{'default': 'Montréal'},CAN,"{'default': 'Quebec', 'fr': 'Québec'}"
0,8475197,https://assets.nhle.com/mugs/nhl/20232024/NSH/8475197.png,{'default': 'Tyson'},{'default': 'Barrie'},22.0,D,R,71,197,180,89,1991-07-26,{'default': 'Victoria'},CAN,"{'default': 'British Columbia', 'fr': 'Colombie-Britannique', 'sk': 'Britská Kolumbia'}"
1,8478851,https://assets.nhle.com/mugs/nhl/20232024/NSH/8478851.png,{'default': 'Alexandre'},{'default': 'Carrier'},45.0,D,R,71,174,180,79,1996-10-08,"{'default': 'Quebec City', 'fr': 'Québec'}",CAN,"{'default': 'Quebec', 'fr': 'Québec'}"
2,8479371,https://assets.nhle.com/mugs/nhl/20232024/NSH/8479371.png,{'default': 'Dante'},{'default': 'Fabbro'},57.0,D,R,72,189,183,86,1998-06-20,{'default': 'Coquitlam'},CAN,"{'default': 'British Columbia', 'fr': 'Colombie-Britannique', 'sk': 'Britská Kolumbia'}"
3,8474600,https://assets.nhle.com/mugs/nhl/20232024/NSH/8474600.png,{'default': 'Roman'},{'default': 'Josi'},59.0,D,L,73,201,185,91,1990-06-01,"{'default': 'Bern', 'fr': 'Berne'}",CHE,
